Title,Topic,Excerpt,Summary,Label
"Scholastic and SoapBox Labs, the Award-Winning Speech Recognition Technology Company, Announce New Partnership to Enhance Efficacy and Equity of Literacy Instructional Programs",news,"NEW YORK, Feb. 22, 2023 /PRNewswire/ -- Today, Scholastic, the global children's publishing, education and media company, announced a multi-year, strategic partnership to voice enable its future reading products with SoapBox Labs ' award-winning, AI-based speech engine, built to accurately recognize children's voices and diagnose reading fluency and disfluencies, regardless of race, background, age or ethnicity. Ready4Reading, a new foundational skills curriculum, is Scholastic's first reading product to leverage SoapBox technology and will be available initially to U.S. schools and districts this summer. Uniting explicit and systematic foundational skills instruction with engaging and authentic reading and writing text experiences, Ready4Reading leverages a unique four-part instructional framework: Teach, Practice, Apply, Prove.","Scholastic Launches Ready4Reading, a Systematic, Grounded in Science Curriculum for Phonics Instruction, as the Company's First Voice-Enabled Product Leveraging SoapBox Technology

NEW YORK, Feb. 22, 2023 /PRNewswire/ -- Today, Scholastic, the global children's publishing, education and media company, announced a multi-year, strategic partnership to voice enable its future reading products with SoapBox Labs ' award-winning, AI-based speech engine, built to accurately recognize children's voices and diagnose reading fluency and disfluencies, regardless of race, background, age or ethnicity.",Education
"Scholastic and SoapBox Labs, the Award-Winning Speech Recognition Technology Company, Announce New Partnership to Enhance Efficacy and Equity of Literacy Instructional Programs",news,"Scholastic Launches Ready4Reading, a Systematic, Grounded in Science Curriculum for Phonics Instruction, as the Company's First Voice-Enabled Product Leveraging SoapBox Technology NEW YORK, Feb. 22,…","Scholastic Launches Ready4Reading, a Systematic, Grounded in Science Curriculum for Phonics Instruction, as the Company's First Voice-Enabled Product Leveraging SoapBox Technology
NEW YORK, Feb. 22, 2023 /PRNewswire/ -- Today, Scholastic, the global children's publishing, education and media company, announced a multi-year, strategic partnership to voice enable its future reading products with SoapBox Labs' award-winning, AI-based speech engine, built to accurately recognize children's voices and diagnose reading fluency and disfluencies, regardless of race, background, age or ethnicity.",Education
"STEM Education Franchise iCode School Opens New Location in Chandler, Arizona",finance,"Grand opening of iCode School in Chandler, AZ.iCode School is preparing students for the digital workforce of tomorrow.Chandler, AZ - February 24th, 2023 - Chandler welcomed a popular education…","Grand opening of iCode School in Chandler, AZ.
iCode School is preparing students for the digital workforce of tomorrow.
Chandler, AZ - February 24th, 2023 -
 Chandler welcomed a popular education franchise to the area with a grand opening event on Saturday, February 11th. iCode is a STEM education campus where kids can learn about everything from coding to programming drones and robotics to digital arts. Councilwoman Christine Ellis of the Chandler City Council and Terri Kimble, President/CEO of the Chandler Chamber of Commerce, were in attendance.",Education
Bengaluru-based transwoman codes her way into breaking barriers,news,"Till two months ago, Srusti, 14, from Morarji Desai Residential School, Challakere, Chitradurga, never had the chance to learn coding back in her home","BENGALURU: Till two months ago, Srusti, 14, from Morarji Desai Residential School, Challakere, Chitradurga, never had the chance to learn coding back in her hometown.But she developed a huge interest in STEM (science, technology, engineering, and mathematics) after she was taught coding and mentored by Yaana Nayak, 39, a transwoman, in Bengaluru.Srusti is now back in her residential school in Challakere and set to work on her project of developing a sensor-based smart home, smart street, and smart solar panel for other exhibitions.",Education
"Dist Labour Officials To Distribute 4,000 Tablets To Kids Of Construction Workers",news,"The district labour authorities are preparing to distribute 4,000 digital tablets to children of registered construction site workers this year. The t","MYSURU: The district labour authorities are preparing to distribute 4,000 digital tablets to children of registered construction site workers this year. The tablets will be distributed for high school students studying in class ninth and tenth.The distribution aims at promotion of online education as many of the students left school without access to digital learning tools like smart phones, tablets and laptops, when both private and public schools promoted digital mode of education from the last few years.",Education
YouTube brings Hopster Learning to Primetime Channels,news,"Leading global provider of digital subscription content services for children and families, Sandbox Kids, has announced that its preschool educational subscription video-on-demand (SVOD) platform,…","All content ties into one the following themes - fun learning, family favourites, language & literacy, numbers & solving puzzles - and the channel aims to offer kids fun learning opportunities through classic children's shows. These include Numberblocks, Fireman Sam and Pigu, original productions, like Saturday Club and Kids Who Save the World and music videos, such as Big Block Singsong.
'We're excited about launching a new children's service on YouTube and to be able to reach families who are looking for safe and quality kids entertainment on even more platforms,' commented 
Sandbox Kids
 general manager Miki Chojnacka.",In Society
Thread: YouTube brings Hopster Learning to Primetime Channels,news,"Yesterday, 15:14:33 #1 YouTube brings Hopster Learning to Primetime Channels Details Editor | 28 February 2023 Leading global provider of digital subscription content services for children and…","Yesterday, 
15:14:33






#1






 


 






Details
Editor
| 28 February 2023
Leading global provider of digital subscription content services for children and families, Sandbox Kids, has announced that its preschool educational subscription video-on-demand (SVOD) platform Hopster Learning is now available on YouTube's Primetime Channels in the US.
Hopster 27 Feb 2023
All content ties into one the following themes - fun learning, family favourites, language & literacy, numbers & solving puzzles - and the channel aims to offer kids fun learning opportunities through classic children's shows.",Education
DVIS hosts a discussion on human trafficking for parents and guardians,news,"'I didn't know what to do. This guy who I thought was a kid at my school, this guy who I thought was my friend, and he's asking me for all these inappropriate things and threats.""","TULSA, Okla. — Parents in Tulsa are being warned to look for signs that their child might be the target of human trafficking.
 A public discussion was held Tuesday evening to raise awareness and give parents advice on what to watch out for in case their child is being targeted. 
Domestic Violence Intervention Services
 (DVIS) hosted the discussion and said it's very important for parents to monitor technology their children are using and report any worries to the police.
Gabrielle Martin is 18 years old, but when she was 12, she was targeted on Snapchat.",Parenting
Parents: How we guard our children from social media predators,news,"• 'Ugly sides of exposing kids to social  By Kate Halim When children are left unsupervised to surf endlessly on the social media because they have access to smartphones, they can be exposed to many vices. They can also become targets for internet bullies, get exposed to pornography and become addicted to social media.  These […]","• 'Ugly sides of exposing kids to social

By Kate Halim

When children are left unsupervised to surf endlessly on the social media because they have access to smartphones, they can be exposed to many vices. They can also become targets for internet bullies, get exposed to pornography and become addicted to social media.

These are the views of some parents as well as experts on mental health and child issues who spoke with Saturday Sun.

Forty-two-year-old Deb Babatunde is a doctor and mother of two girls.",In Society
How To Kid-Proof An Amazon Fire Tablet,news,"If you happen to have plans to buy an Amazon Fire tablet for your child, you can rig it so that certain features are inaccessible to them.","We may receive a commission on purchases made from links.
 
Anyone who is tasked with keeping children busy while juggling important duties can tell you that having 
a mobile device assigned specifically for kid use
 is pretty much essential. However, leaving young users to their own devices so to speak can have disastrous repercussions like accidental in-app purchases and access to age-inappropriate content. In order to avoid any of these scenarios from happening, 
fortifying the parental controls
 is a must.",Parenting
Get your kids outdoors! Para umano mabawasan ang negative effects ng screentime,news,"Screens are part of today's culture, but there are many benefits to limiting screen time especially for your children.","In this article, you'll read:




What is the effect of too much screen time on your child's health


things that parents should do to manage kids' screen time


fun outdoor activities to try and enjoy


 
What is the effect of too much screening time on your child's health?


'Screen time' refers to activities engaged in front of different devices, such as watching television, working on a computer, or 
playing video games
. Sedentary activity means sitting down and being physically inactive.


Although screens are a part of today's culture, there are many benefits to limiting screen time, such as enhanced overall health, lower obesity, and more time to play, learn and explore.",Parenting
New Study Reveals Simple Way To Mitigate Screen Time's Negative Effects on Children,science,Researchers from Osaka University have discovered that mitigating the harmful effects of screen time on young minds could be as straightforward as encouraging children to play outside. Parents with…,"Screen time refers to the amount of time spent using digital devices such as smartphones, tablets, and computers. Excessive screen time has been linked to a range of negative effects on children, including decreased physical activity, disrupted sleep patterns, decreased attention span and cognitive skills, and decreased social skills and emotional well-being.
Researchers from Osaka University have discovered that mitigating the harmful effects of screen time on young minds could be as straightforward as encouraging children to play outside.",Menatal Health
France aims to protect kids from parents oversharing pics online,news,"‘The message to parents is that their job is to protect their children's privacy,' lead lawmaker says.","PARIS — French parents had better think twice before posting too many pictures of their offspring on social media. 
 
On Tuesday, members of the National Assembly's law committee unanimously green-lit draft legislation to protect children's rights to their own images. 
 
""The message to parents is that their job is to protect their children's privacy,"" Bruno Studer, an MP from President Emmanuel Macron's party who put the bill forward, said in an interview. ""On average, children have 1,300 photos of themselves circulating on social media platforms before the age of 13, before they are even allowed to have an account,"" he added.",In Society
Thanet pupils discuss how to stay safe online,news,The whole-school event gave children a voice about how they want the internet to be safer,"SAFER INTERNET DAY: Promoting the safe, responsible and positive use of digital technology 


Ramsgate pupils took part in a series of learning and discussion activities as part of the nationwide annual Safer Internet Day.
A kinder and safer Internet experience is what children at Ramsgate Arts Primary School want to see developed. All pupils from Reception to Year 6 took part in the 
whole-school event
 that focused on giving children a voice about how they want the internet to be safer for them to use.",Education
INTERNATIONAL DIGITAL LEARNING DAY,news,by Amanda Ilaitia23/02/202323/02/2023,"by 

23/02/2023
23/02/2023
0
110
 
 
Share
0
 
 
 
 
Today is International Digital Learning Day and students enrolled at Buk Bilong Pikinini's Koki Markets Library Learning Centre will be showcasing the program content.
 
BbP is launching its Digital Learning Program, this was developed in house for 5-year-olds. The goal of this program is to ensure children have access to safe and appropriate content in the online world.
 
As technology rapidly advances, children are increasingly exposed to online platforms and apps via devices like phones, tablets and computers.",Education
Creating a safer digital space for children,news,"By Yamikani Yapuwa Blantyre, February 23, Mana; Jack aged 10, learns at one of the prestigious schools in Blantyre. At his age, he is already into technology. He has a dual sim tablet and a laptop at…","By Yamikani Yapuwa
 


Matemba- Parents have an obligation to ensure that young children do not access inappropriate content-Pic by Arkangel Tembo
 
Blantyre, February 23, Mana; 
Jack aged 10, learns at one of the prestigious schools in Blantyre. At his age, he is already into technology. He has a dual sim tablet and a laptop at home which are connected making it easy for him to surf the internet.
 
Jack says he can install apps from the Play Store as well as operating the laptop on his own without the help of an adult.",Parenting
,,,,
'His life was taken': Family set up charity to warn of online dangers after son's death,news,George and Areti Nicolaou believe their son Christopher was groomed by dangerous social media chat rooms and forums filled with every parents' fears. | ITV News London,"The parents of a 15-year-old boy who died after he become involved in a dark web forum are urging families to recognise signs their children are in danger from online predators.

George and Areti Nicolaou, from Waltham Cross, have set up a charity to help young people cope with online pressures in memory of their son Christoforos - known as Christopher - who took his own life last March after taking part in a series of online challenges he found on the dark web.

His family hope the Christoforos Foundation will help teenagers access activities away from social media.",Parenting
Play therapist says mindfulness is critical to a child's development,news,"If Covid taught us anything it was to slow down, be more mindful and present in our lives, and play therapist and counsellor Laura Jean Collins says we should be telling our children the same","There's no denying that the world has never been a busier place. The impact of Covid taught us all to slow down and never take life for granted, but as aspects of live slowly returned to normal in the aftermath of the pandemic, it's not a surprise that many of us have forgotten this. 
 
Busy life schedules and having the world of technology at our fingertips mean it's harder than ever to switch off and wind down, and the same goes for our kids. 
 
Enter play therapist, counsellor, and mum of three Laura Jean Collins, who says it's never been so important to encourage and practise mindfulness - and not just for us, for our children too.",In Society
Setting screen time limits for children,news,"Globally, there has been an exponential increase in children's exposure to screen time. Babies, toddlers and children of varying ages now have access to many digital devices, such as television,…","Globally,
 there has been an exponential increase in children's exposure to screen time. Babies, toddlers and children of varying ages now have access to many digital devices, such as television, computers, phones and tablets, among others.

Babies are inquisitive and would always mimic what their parents and peers around them are doing. This further explains why a nine-month-old baby would toddle to the front of the TV screen and move to the actions being displayed.

Undoubtedly, the positive effects of these technological devices have contributed to seamless communication and connection among individuals, groups and communities, improved teaching and learning methods and social bonding.",In Society
"How To: Child-proof Your Android Smartphone, a Complete Guide",news,Discover how to set up a child-proof Android smartphone with our comprehensive guide. Protect your child from harmful content with parental controls.,"With the advancement of 
technology 
and introduction of online classes, children are gaining more access to smartphones and tablets. While these devices can be great educational tools, they also come with potential risks.
 
To ensure your child stays safe while using these devices, it's important to set them up with effective child protection.
 
In this article, we will share a detailed method on how to make your Android smartphone and digital devices childproof.
 
Setup child-proof Android smartphone:
 
If you want to give your child their own Android phone or tablet, Google has many ways to keep them safe.",Education
How The Use of Social Networks Affects Teenagers,news,Many parents are concerned about how exposure to technology might affect young children's development. We know that our preschoolers are acquiring new,"Many parents are concerned about how exposure to technology might affect young children's development. We know that our preschoolers are acquiring new social and cognitive skills at an impressive rate, and we don't want hours glued to an electronic device to impede this. But adolescence is an equally important and rapidly developing period. Too few of us are paying attention to how our teens' technology use (far more intense and intimate than that of a 3-year-old playing with his dad's phone) affects them.",Parenting
Six tips for keeping children safe online,news,"If you're a parent of teenagers, you might feel like your kids have the upper hand when it comes to technology. As digital natives, teens intrinsically (or so it seems) understand what platforms,…","Credit: Shutterstock 
 
 




If you're a parent of teenagers, you might feel like your kids have the upper hand when it comes to technology. As digital natives, teens intrinsically (or so it seems) understand what platforms, programs, apps, and social media channels to use when—and, unlike many of the adults in their lives, they know how to use them. 
 
 
As a result, it can be daunting for parents and guardians to figure out how to guide their children in safely using 
digital tools
. What is t",Parenting
"'Yellowstone' fans ignite a western sport, cell phone safety for kids and more (Video)",news,"We head to Texas to see how the hit TV show ""Yellowstone'' is igniting the old western sport of cutting. And we look at ways parents can keep children safe from potential dangers on their... - Social News XYZ","We head to Texas to see how the hit TV show ""Yellowstone'' is igniting the old western sport of cutting. And we look at ways parents can keep children safe from potential dangers on their...


The post 
'Yellowstone' fans ignite a western sport, cell phone safety for kids and more (Video)
 appeared first on 
Social News XYZ
.",Parenting
Is handwriting still relevant in the 21st Century?,news,Is handwriting a dying art or is keyboarding taking over?,"By Marilyn Sheridan, in 
Lifestyle
 · 
28 Feb 2023, 12:01
 · 
0 Comments
 
When was the last time you actually wrote anything other than a scribbled shopping list or noted a phone number to stick on the fridge?
There are arguments both for and against handwriting, and nowadays people choose keyboarding for most things. Taking notes by hand is better for learning than using a keyboard, say psychologists, or maybe this is being mooted because we are typing more than we are writing. Taking notes by hand at university or college gives students a chance to explore their notes in more detail by studying after a lecture, for example, maybe typing up their completed reports or notes on a keyboard later – but perhaps it is quicker to type the notes in the first place.",Education
Grab Discounted Kindle Paperwhite Kids E-Readers Starting at $105,news,"Today only, you can save up to $75 on this waterproof e-reader designed for kids.","Tablets may have a more versatile set of skills, but for avid readers who want a distraction-free reading experience, 
e-readers
 aimed at providing a portable library on the go are a better option. Amazon's Kindle lineup has been a favorite for book lovers for ages, with a number of models that offer different features depending on your needs -- including kids. And right now, you can get the Kindle Paperwhite Kids edition from Amazon at a discount. Prices start at $105, but these offers expire tonight, so be sure to make your purchase before then if you want to cash in on this deal.",Education
East Hartford police warn parents after 3 children targeted on app,news,"EAST HARTFORD, Conn. (WTNH) — East Hartford police are warning parents about a new social media app that internet predators are using to solicit nude photographs from children. 'The int…","EAST HARTFORD, Conn. (WTNH) — East police are warning parents about a new social media app that internet predators are using to solicit nude photographs from children.
 
'The internet is a scary place,' said Briahna Martin, an investigator with the East Police Department. 'It's big. You don't know who you are talking to on the other side of the screen.'
 
TIYA describes itself as a social entertainment app where users can chat, play games and watch videos with each other. But Martin said some adult users are targeting and messaging kids in an attempt to get the photos.",In Society
Man Shares Thoughtful Pic To Emphasize Technology Dependency,news,"One individual pointed out how humans are totally dependent on phones and wrote, 'Now we are tied with smartphones.'","The advancement of technology not only has made our life easier but also efficient. However, it also has made us completely dependent on gadgets like our smartphones and tabs. Mirroring this lifestyle shift, Indian Administrative Service (IAS) officer Awanish Sharan gave Twitter users a reality check. He shared a photo with the message – 'When the phone was tied with a wire."" It makes one wonder how technology has evolved and now affects us in our regular lives. A lot of social media users agreed to the hard-hitting post and dropped comments like 'true"" and 'couldn't agree more.",In Society
Tablet-based game can assess pediatric visual motor skills in autism,news,"A tablet-based game is feasible for assessing visual motor skills in neurotypical children and those with autism spectrum disorder, according to a study published online Feb. 3 in npj Digital…","A tablet-based game is feasible for assessing visual motor skills in neurotypical children and those with autism spectrum disorder, according to a study published online Feb. 3 in 
npj Digital Medicine
. 
Sam Perochon, from Duke University in Durham, North Carolina, and colleagues examined the use of a bubble-popping game administered on a tablet as an assessment of visual-motor abilities in 
young children
. Participants included 233 children aged 1.5 to 10 years: 147 neurotypical and 86 diagnosed with 
autism spectrum disorder
, 32 of whom had co-occurring attention-deficit/hyperactivity disorder (autistic+ADHD).",Menatal Health
Financial Literacy: How Crypto Made Investing Kid-Friendly,news,Skills in financial literacy are critical in building our future. Kids of the digital generation build them by learning about digital money.,"Financial literacy is insufficient for the bigger part of the world's population.
The pandemic democratized the world of finances.
Younger generations prefer gamified ways to learn about finances.

Financial education is largely absent from public school programs worldwide. But the brave new world of digital money, blockchain, artificial intelligence, virtual reality, and metaverse gaming is changing the status quo.

Generation Alpha, the first digitally native generation born after 2010, often starts to get acquainted with financial topics with digital money.",In Society
Why People Who Play Video Games Are Smarter & More Successful,news,Game ON!,"Kids and most adults love to play video games and would play all day and night if their parents (and work schedule) let them. In fact, adults who play video games actually have higher levels of happiness and relaxation. What better way to escape from the stresses of life?
But for kids, parents and experts have discussed the potential harm of video games. Previous studies have suggested 
children learn violence
 and other negative behaviors from playing with them.
But 
a new study
 has found that children who play video games have almost 
twice the odds of having a high intellectual
 function and high overall school competence.",Menatal Health
We have to help Pennsylvania teens avoid online sextortion. Here's how,news,"How do we balance the value of learning and staying connected to friends through social media, with risks ranging from cyberbullying to sextortion?","VIDEO: Rep. KC Tomlinson speaks about legislation in 'sextortion' case
Rep. KC Tomlinson speaks about legislation aimed to handle those charged with sexual extortion that leads to injuries or death of a victim.
We lock our doors at night to keep our children safe. Some of us set our home alarms. After all, there is nothing more important than protecting our children. But when your children go online, their door is open to the world and the world to them. Sadly, individuals who prey on children and teens can be 'friending' them on the social media sites they use.",Parenting
East Hartford police warn of child enticement on social media app,news,East Hartford police sent out a warning to parents about children being targeted on a social media app.,"EAST HARTFORD, CT (WFSB) – East Hartford police sent out a warning to parents about children being targeted on a social media app.
Police said they have received several reports of child enticement on the social media app TIYA.
'The app allows users to chat, watch videos, listen to music, and play games with other users of the app,' said East Hartford police.
According to police, adult users try to solicit nude photos from children using the app.
East Hartford police said they have received several reports of this in recent months.",In Society
N.J. Legislators Propose Punishing Social Media Companies For Kids' Online Addiction,news,"For teenagers like Nidhi Das, social media became a cherished lifeline to friends during the pandemic's early days. But as regular life resumed, Das didn't like how tethered she felt to it. Social…","For teenagers like Nidhi Das, social media became a cherished lifeline to friends during the pandemic's early days.
But as regular life resumed, Das didn't like how tethered she felt to it. Social media became her go-to boredom buster, and even the misinformation that infects many platforms kept her swiping.
'The algorithm, it curates to what you like. And people would make up little controversies, so that might encourage you, like ‘oh, let me look into that.' Even if it's not true, I still want to know like: ‘Oh, where did that stem from?'' said Das, 17, a high school senior from Lawrenceville.",In Society
Is Texas Really Going To Try To Ban Social Media In 2023?,news,No one ever said parenting was going to be easy.,"For generations we have warded off the evils attempting to harm our kids. Everything from Elvis' hips to video games has plagued parents' nightmares regarding the safety of their young ones. Now, social media is the perceived threat to our children and their well being.
Is Texas really going to try to ban social media, for teens, in 2023? We've already seen the 
TikTok ban
 on devices used for 
conducting State business
.
Say Hello To HB 896 In Texas, Banning Teens From All Social Media
On it's face, it sounds like a good idea.",In Society
Kids' screen time skyrocketed during pandemic — and it's still higher than pre-COVID,news,"Average daily screen time for kids is more than double the recommendation of the American Academy of Pediatrics, according to a new study published in JAMA Network Open.","Kids' screen time increased early in the 
COVID-19
 pandemic amid lockdowns and stay-at-home measures.
But even after precautions were lifted and people resumed normal activities, it remained higher, according to a new study published on Feb. 15 in JAMA Network Open.
The study — led by Monique M. Hedderson, PhD, a research scientist at the Kaiser Permanente 
Northern California
 Division of Research — looked at the screen usage of 228 children aged 4 years to 12 years across three U.S. states.

Researchers compared screen times during three periods: pre-pandemic (July 2019 to March 2020), early pandemic (December 2020 to April 2021), and later in the pandemic (May 2021 to August 2021).",In Society
Kids' screen time skyrocketed during pandemic — and it's still higher than pre-COVID,news,"Kids' screen time increased early in the COVID-19 pandemic amid lockdowns and stay-at-home measures. But even after precautions were lifted and people resumed normal activities, it remained higher,…","Kids' screen time increased early in the 
COVID-19
 pandemic amid lockdowns and stay-at-home measures.


But even after precautions were lifted and people resumed normal activities, it remained higher, according to a new study published on Feb. 15 in JAMA Network Open.


The study — led by Monique M. Hedderson, PhD, a research scientist at the Kaiser Permanente 
Northern California
 Division of Research — looked at the screen usage of 228 children aged 4 years to 12 years across three U.S. states.",In Society
"To stop kids from getting hooked to the internet, China to tighten web video curbs",news,"China already has rules in place that limit the amount of time under-18 year-olds can spend on video games to three hours a week, a move it said was necessary to combat online gaming addiction","Though no specific measures were announced on Monday, policies introduced by regulators last year included banning minors from tipping live streamers and ordering domestic streaming and social media platforms to conduct regular minor-focused cyber-protection assessments. File Photo. 
 
 
Beijing:
 China will tighten curbs on management of short videos as part of efforts to prevent children from becoming addicted to them, the National Radio and Television Administration (NRTA) said on Monday.


'Create a clean space for short videos, improve the level of protection of minors, and play a subtle and positive role in cultivating sentiment, enlightening minds, and leading trends,' a statement released by NRTA on its website describing an internal meeting held on the issue of minor addiction, read.",In Society
East Hartford Police Warn Parents About Child Enticement on Social Media,news,"Police in East Hartford are warning parents to be cautious of child enticement on a social media app called T!YA. The app allows people to chat, watch videos, listen to music and play games with other…","NBC News
 
 
 
 
Police in East Hartford are warning parents to be cautious of child enticement on a social media app called T!YA.
 
The app allows people to chat, watch videos, listen to music and play games with other people. Police say they've had multiple reports of minors being targeted by adults on the app to solicit nude photos.
 
The police department is urging parents to keep an eye on their children's social media use and interactions while using T!YA. 
 
Officers say parents should talk to their kids about appropriate online interactions and internet safety.",In Society
East Hartford police warn parents about social media app targeting children,news,East Hartford police say they have received multiple reports of adults using the...,"East Hartford police issued a warning for parents about the messaging app TIYA after reports of multiple instances where adults tried to entice nude photos from children through the app.
East Hartford Police / Contribut
EAST HARTFORD — Local police are warning parents about a voice chat app after receiving ""multiple reports"" of minors being targeted by adults trying to persuade them to send nude photos.
The app, TIYA, stylized as T!YA, allows users to access chat rooms, talk to their friends and play games with other users.",In Society
"WPD Detective Jacobsen to talk about social media, safety at W-SR Middle School conferences",business,"Holly Jacobsen is a parent and a police detective. Both personally and professionally, she knows first hand the dangers that lurk online for young kids.","Holly Jacobsen is a parent and a police detective. Both personally and professionally, she knows first hand the dangers that lurk online for young kids.
The Waverly police officer will be sharing her experiences and her research with parents and students who attend the parent teacher conferences on Feb. 27, during two sessions starting at 5 p.m. and 6 p.m., respectively, at the Waverly-Shell Rock Middle School in room A103.
Titled ‘Social Media and Safety,' the presentation dives into the online experiences kids are subjected to.",Parenting
China to tighten web video curbs to prevent kids from addiction,news,"BEIJING (Reuters) - China will step up the management of short videos as part of efforts to prevent children from becoming addicted to them, the National Radio and Television Administration (NRTA)…","BEIJING (Reuters) – China will step up the management of short videos as part of efforts to prevent children from becoming addicted to them, the National Radio and Television Administration (NRTA) said on Monday. 


'Create a clean space for short videos, improve the level of protection of minors, and play a subtle and positive role in cultivating sentiment, enlightening minds, and leading trends,' according to an NRTA statement on its website describing an internal meeting held on the issue of minor addiction.",In Society
East Hartford Police Warn of Social Media App Dangers for Children,news,"A warning to East Hartford parents from police. Officers are urging parents to monitor their child's social media use, saying they're getting reports of children being targeted by adults on a specific…","A warning to East Hartford parents from police. Officers are urging parents to monitor their child's social media use, saying they're getting reports of children being targeted by adults on a specific app.
 
With a sleek open and many ways to chat with people online, this is the social media app Tiya. It's the focus of a 
warning from East Hartford Police
.
 
The police department 
posted on Facebook
 stating officers received several reports in recent months of adults asking children for nude photos through Tiya.",Parenting
ReasonLabs Launches FamilyKeeper Parental Control App to Protect Kids Online and Make Parenting Easier in the Digital World,news,"/PRNewswire/ -- ReasonLabs, the cybersecurity pioneer equipping families and individuals worldwide with the same level of cyber protection utilized by Fortune...","Available on Android and iOS, FamilyKeeper enables parents to monitor social media conversations, track their children's locations, prevent cyberbullying, and exposure to harmful content


NEW YORK
, 
Feb. 28, 2023
 /PRNewswire/ -- 
ReasonLabs
, the cybersecurity pioneer equipping families and individuals worldwide with the same level of cyber protection utilized by Fortune 500 companies, today announced the launch of 
FamilyKeeper
, a parental control app for Android and iOS. The FamilyKeeper parental control app helps make parenting easier in the digital world by equipping parents with the tools they need to protect their kids online.",In Society
"Gamers Outreach Founder Zach Wigal Discusses Bringing People Together, Supporting Patients, and More",news,"Game Rant talks to Gamers Outreach founder Zach Wigal about how video games bring people together, support children's well-being in hospitals and more","Gamers Outreach
 is a charity that helps make video games accessible for children in hospitals through its 4 core programs, including its portable GO-Kart gaming kiosks for which the organization is most widely known. Gamers Outreach is on a mission to bring video games to hospitals across the United States and beyond so that one day people look back and remember a time in history when video games in hospitals weren't a thing.
 
Game Rant recently spoke with Gamers Outreach's founder, Zach Wigal, about how the charity began and how it has evolved over the years as a life quest and passion for many who are now involved in its work.",In Society
Thai sextortion gangs luring kids to send nude photos by offering game items,news,BANGKOK (The Nation/Asia News Network): Police have warned that 'cyber sextortion' gangs are luring children to send photos of themselves naked in exchange for rare items from online games.,"BANGKOK (The Nation/Asia News Network): Police have warned that 'cyber sextortion' gangs are luring children to send photos of themselves naked in exchange for rare items from online games.
 
The gangs contact children via chat features in social media or within the games. They then offer digital items from the games to lure them into sending nude photos, which are later used to extort money from the victims, said police spokeswoman Noppawan Panya (pic) on Sunday.
 
'Some gangs also distribute these photos to groups of paedophiles,' she said.",In Society
I'm a screen time expert and this is how I limit my kids' tech diet,news,"Establishing guidelines and communicating them clearly can keep children from lashing out if you take away the iPad some days and not others, she said.","With 
childhood screen use
 up 52% since the pandemic, getting your kids off their iPad might be more important now than ever before.
Screen limits are important because 
studies
 
have shown
 that screens work as an ""emotional pacifier"" that distract kids from feeling difficult emotions, including boredom, according to Anya Kamenetz, the author of 
""The Art of Screen Time: How Your Family Can Balance Digital Media and Real Life""
 and a self-described 
screen time expert
, 
Too much time online can also stymie conversational skill development and the ability to learn social cues, a trend that's becoming more common, an adolescent psychologist 
previously told Insider
.",Menatal Health
Pink Shirt Day: Delta Police offer tips to stop online bullying,news,The Delta Police Department works with our partners from the Delta School District to provide education and resources around bullying.,"In today's digital world where our youth are constantly connected through social media, online gaming, and chat groups, it is difficult for kids to escape bullying and harassment.
 
In years past, if a youth was bullied at school, they at least had refuge at home. Today, there is no escape. Most of the harassment and bullying files that the Delta Police Department investigates involve an element of chat group or social media harassment/bullying/threats. Occasionally, these files lead to physical assaults.",In Society
Thai sextortion gangs luring kids to send nude photos by offering game items » Borneo Bulletin Online,news,ANN/THE NATION – Police have warned that 'cyber sextortion' gangs are luring children to send photos of themselves naked in exchange for rare items from online games. The gangs contact children via…,"- Advertisement -






ANN/THE NATION – Police have warned that 'cyber sextortion' gangs are luring children to send photos of themselves naked in exchange for rare items from online games.


The gangs contact children via chat features in social media or within the games.


They then offer digital items from the games to lure them into sending nude photos, which are later used to extort money from the victims, said police spokeswoman Noppawan Panya on Sunday.


'Some gangs also distribute these photos to groups of paedophiles,' she said.",In Society
China to Tighten Web Video Curbs to Prevent Kids from Addiction,news,"China will step up the management of short videos as part of efforts to prevent children from becoming addicted to them, the National Radio and Television Administration (NRTA) said on Monday. ""Create…","China will step up the management of short videos as part of efforts to prevent children from becoming addicted to them, the National Radio and Television Administration (NRTA) said on Monday.
 
'Create a clean space for short videos, improve the level of protection of minors, and play a subtle and positive role in cultivating sentiment, enlightening minds, and leading trends,' according to an NRTA statement on its website describing an internal meeting held on the issue of minor addiction.
 
The statement is the latest in a campaign launched by China's media regulators over a year ago that has significantly tightened the rules surrounding livestreaming, video gaming, and Internet usage among minors.",In Society
I'm a screen time expert and this is how I limit my kids' tech diet,news,A screen time expert said she limits her kids screen time to about 30 minutes on weekdays. She said parents must establish guidelines around screen use,"With 
childhood screen use
 up 52% since the pandemic, getting your kids off their iPad might be more important now than ever before.


Screen limits are important because 
studies
 
have shown
 that screens work as an ""emotional pacifier"" that distract kids from feeling difficult emotions, including boredom, according to Anya Kamenetz, the author of 
""The Art of Screen Time: How Your Family Can Balance Digital Media and Real Life""
 and a self-described 
screen time expert
, 


Too much time online can also stymie conversational skill development and the ability to learn social cues, a trend that's becoming more common, an adolescent psychologist 
previously told Insider
.",Menatal Health
